Variable1,Variable2,Correlation,Correlation Type
renewables_production_per_capita,renewables_production_per_capita,1.0,Pearson
solar_per_capita,renewables_production_per_capita,-0.002018417972301105,Pearson
wind_per_capita,renewables_production_per_capita,0.153841866230471,Pearson
hydro_per_capita,renewables_production_per_capita,0.9839419997037003,Pearson
other_renewables_per_capita,renewables_production_per_capita,0.8404323559579037,Pearson
co2_per_capita,renewables_production_per_capita,0.025091649279035858,Pearson
gdp_per_capita,renewables_production_per_capita,0.20683058523452547,Pearson
log_renewables_production_per_capita,renewables_production_per_capita,0.9999999999656627,Pearson
log_hydro_per_capita,renewables_production_per_capita,0.9839415348032531,Pearson
log_gdp_per_capita,renewables_production_per_capita,0.24798097747490394,Pearson
renewables_production_per_capita,solar_per_capita,-0.002018417972301105,Pearson
solar_per_capita,solar_per_capita,1.0,Pearson
wind_per_capita,solar_per_capita,0.4124081247056648,Pearson
hydro_per_capita,solar_per_capita,-0.0619589027790386,Pearson
other_renewables_per_capita,solar_per_capita,-0.014658980303974091,Pearson
co2_per_capita,solar_per_capita,0.014515817895908166,Pearson
gdp_per_capita,solar_per_capita,0.33132846395085586,Pearson
log_renewables_production_per_capita,solar_per_capita,-0.002017265047097917,Pearson
log_hydro_per_capita,solar_per_capita,-0.06195884984113661,Pearson
log_gdp_per_capita,solar_per_capita,0.3474223811483219,Pearson
renewables_production_per_capita,wind_per_capita,0.153841866230471,Pearson
solar_per_capita,wind_per_capita,0.4124081247056648,Pearson
wind_per_capita,wind_per_capita,1.0,Pearson
hydro_per_capita,wind_per_capita,0.08130068785872706,Pearson
other_renewables_per_capita,wind_per_capita,0.05296171617703168,Pearson
co2_per_capita,wind_per_capita,-0.04056325748273205,Pearson
gdp_per_capita,wind_per_capita,0.3806171837458682,Pearson
log_renewables_production_per_capita,wind_per_capita,0.15384497870925898,Pearson
log_hydro_per_capita,wind_per_capita,0.08130162766837386,Pearson
log_gdp_per_capita,wind_per_capita,0.39822105520952905,Pearson
renewables_production_per_capita,hydro_per_capita,0.9839419997037003,Pearson
solar_per_capita,hydro_per_capita,-0.0619589027790386,Pearson
wind_per_capita,hydro_per_capita,0.08130068785872706,Pearson
hydro_per_capita,hydro_per_capita,1.0,Pearson
other_renewables_per_capita,hydro_per_capita,0.7457620009742796,Pearson
co2_per_capita,hydro_per_capita,0.026114227265557538,Pearson
gdp_per_capita,hydro_per_capita,0.17706337849044945,Pearson
log_renewables_production_per_capita,hydro_per_capita,0.9839427252297684,Pearson
log_hydro_per_capita,hydro_per_capita,0.9999999999866832,Pearson
log_gdp_per_capita,hydro_per_capita,0.21627226653873555,Pearson
renewables_production_per_capita,other_renewables_per_capita,0.8404323559579037,Pearson
solar_per_capita,other_renewables_per_capita,-0.014658980303974091,Pearson
wind_per_capita,other_renewables_per_capita,0.05296171617703168,Pearson
hydro_per_capita,other_renewables_per_capita,0.7457620009742796,Pearson
other_renewables_per_capita,other_renewables_per_capita,1.0,Pearson
co2_per_capita,other_renewables_per_capita,0.02713468094966839,Pearson
gdp_per_capita,other_renewables_per_capita,0.13294093474132718,Pearson
log_renewables_production_per_capita,other_renewables_per_capita,0.8404289570728798,Pearson
log_hydro_per_capita,other_renewables_per_capita,0.745759797082274,Pearson
log_gdp_per_capita,other_renewables_per_capita,0.16708458323232162,Pearson
renewables_production_per_capita,co2_per_capita,0.025091649279035858,Pearson
solar_per_capita,co2_per_capita,0.014515817895908166,Pearson
wind_per_capita,co2_per_capita,-0.04056325748273205,Pearson
hydro_per_capita,co2_per_capita,0.026114227265557538,Pearson
other_renewables_per_capita,co2_per_capita,0.02713468094966839,Pearson
co2_per_capita,co2_per_capita,1.0,Pearson
gdp_per_capita,co2_per_capita,0.6291758450565494,Pearson
log_renewables_production_per_capita,co2_per_capita,0.025091420494786316,Pearson
log_hydro_per_capita,co2_per_capita,0.026114038698803292,Pearson
log_gdp_per_capita,co2_per_capita,0.5746017255921607,Pearson
renewables_production_per_capita,gdp_per_capita,0.20683058523452547,Pearson
solar_per_capita,gdp_per_capita,0.33132846395085586,Pearson
wind_per_capita,gdp_per_capita,0.3806171837458682,Pearson
hydro_per_capita,gdp_per_capita,0.17706337849044945,Pearson
other_renewables_per_capita,gdp_per_capita,0.13294093474132718,Pearson
co2_per_capita,gdp_per_capita,0.6291758450565494,Pearson
gdp_per_capita,gdp_per_capita,1.0,Pearson
log_renewables_production_per_capita,gdp_per_capita,0.2068320338686879,Pearson
log_hydro_per_capita,gdp_per_capita,0.17706373121604652,Pearson
log_gdp_per_capita,gdp_per_capita,0.8809460291183019,Pearson
renewables_production_per_capita,log_renewables_production_per_capita,0.9999999999656627,Pearson
solar_per_capita,log_renewables_production_per_capita,-0.002017265047097917,Pearson
wind_per_capita,log_renewables_production_per_capita,0.15384497870925898,Pearson
hydro_per_capita,log_renewables_production_per_capita,0.9839427252297684,Pearson
other_renewables_per_capita,log_renewables_production_per_capita,0.8404289570728798,Pearson
co2_per_capita,log_renewables_production_per_capita,0.025091420494786316,Pearson
gdp_per_capita,log_renewables_production_per_capita,0.2068320338686879,Pearson
log_renewables_production_per_capita,log_renewables_production_per_capita,1.0,Pearson
log_hydro_per_capita,log_renewables_production_per_capita,0.983942260369339,Pearson
log_gdp_per_capita,log_renewables_production_per_capita,0.24798296093724562,Pearson
renewables_production_per_capita,log_hydro_per_capita,0.9839415348032531,Pearson
solar_per_capita,log_hydro_per_capita,-0.06195884984113661,Pearson
