Country Name,year,population,renewables_production,solar_electricity_generation_twh,wind_electricity_generation_twh,hydro_electricity_generation_twh,other_renewables_electricity_generation_twh,co2_per_capita,gdp_per_capita,renewables_production_per_capita,solar_per_capita,wind_per_capita,hydro_per_capita,other_renewables_per_capita,log_gdp_per_capita,log_renewables_production_per_capita,log_hydro_per_capita
United Arab Emirates,2000,3493575.0,0.0,0.0,0.0,0.0,0.0,32.005684,91317.6283690281,0.0,0.0,0.0,0.0,0.0,11.422110080480865,0.0,0.0
Argentina,2000,37213984.0,28.9960633,3.6e-05,0.034758,28.575241,0.3860283,3.8552415,11499.9828002698,7.7917116587141e-07,9.673782844642487e-13,9.34003733650232e-10,7.678629893536794e-07,1.0373205405795842e-08,9.350187771592793,7.791708623177149e-07,7.678626945470451e-07
Australia,2000,19028802.0,17.53675,0.04675,0.134,16.4665,0.8895,18.293966,26541.6653208437,9.215898089643269e-07,2.456802062473507e-09,7.041956713827808e-09,8.653461211063103e-07,4.674492908171518e-08,10.186508729401577,9.215893843006998e-07,8.653457466945716e-07
Austria,2000,8011566.0,43.4339293,0.003,0.067,41.83565,1.5282793,8.258849,29214.7386484813,5.4214031688686085e-06,3.744586264408232e-10,8.362909323845052e-09,5.221906678419675e-06,1.9075912249864757e-07,10.282462837861848,5.4213884731155636e-06,5.22189304431246e-06
Azerbaijan,2000,8048600.0,1.534,0.0,0.0,1.534,0.0,3.641134,3382.08308668081,1.9059215267251447e-07,0.0,0.0,1.9059215267251447e-07,0.0,8.126542728538475,1.9059213450983244e-07,1.9059213450983244e-07
Belgium,2000,10251250.0,1.044,0.0,0.016,0.46,0.568,12.361207,27788.0908832256,1.0184123887330814e-07,0.0,1.5607852700890135e-09,4.487257651505914e-08,5.5407877088159976e-08,10.23239880839164,1.0184123368748952e-07,4.487257550828511e-08
Bangladesh,2000,134544304.0,0.74901,1e-05,0.0,0.749,0.0,0.19725306,1511.90500589079,5.567013821707383e-09,7.432495990317064e-14,0.0,5.56693949674748e-09,0.0,7.3217869265501205,5.567013806211561e-09,5.566939481252073e-09
Bulgaria,2000,8170172.0,2.631,0.0,0.0,2.631,0.0,5.698653,6422.77559051105,3.220250442707938e-07,0.0,0.0,3.220250442707938e-07,0.0,8.767761322032468,3.2202499242074035e-07,3.2202499242074035e-07
Belarus,2000,9979610.0,0.027,0.0,0.0,0.027,0.0,5.4954047,5795.65224182629,2.705516548241865e-09,0.0,0.0,2.705516548241865e-09,0.0,8.665035830205522,2.705516544581955e-09,2.705516544581955e-09
Brazil,2000,174018282.0,312.259663,0.0,0.001,304.4033,7.855363,1.95487,9091.76851396714,1.7944072278566686e-06,0.0,5.746522655590865e-12,1.7492604598866228e-06,4.514102144739022e-08,9.115234707793498,1.794405617909945e-06,1.7492589299323286e-06
Canada,2000,30685730.0,365.957534054,0.016421054,0.264,356.76007,8.917043,18.330502,29362.0841609786,1.192598429478458e-05,5.351364950418322e-10,8.603347549496135e-09,1.1626253310577914e-05,2.905925001621275e-07,10.287493523566328,1.1925913180799282e-05,1.1626185726218728e-05
Switzerland,2000,7184250.0,37.684334,0.011,0.003,36.837334,0.833,6.071977,36695.2070554187,5.245409611302502e-06,1.5311271183491666e-09,4.1758012318613634e-10,5.127512823189616e-06,1.1594808087135052e-07,10.510428678713092,5.2453958541896145e-06,5.127499677540676e-06
Chile,2000,15503635.0,20.456,0.0,0.0,19.081,1.375,3.7734895,9375.59008392779,1.3194325072797444e-06,0.0,0.0,1.230743628832851e-06,8.868887844689326e-08,9.145971445408938,1.3194316368294394e-06,1.2307428714685326e-06
China,2000,1262645000.0,225.558899,0.022,0.589899,222.41,2.537,2.8743548,2917.6021545082,1.7863999699044465e-07,1.7423741431677154e-11,4.671930748547691e-10,1.7614610599178707e-07,2.0092741823711335e-09,7.978860066432578,1.7863998103432228e-07,1.7614609047806357e-07
Colombia,2000,39089934.0,31.313553014,0.001835014,0.0,30.815718,0.496,1.4477241,6775.93064419867,8.010643613263712e-07,4.6943389569294235e-11,0.0,7.883287293347694e-07,1.2688688602032431e-08,8.821279571086205,8.01064040474487e-07,7.8832841860384e-07
Cyprus,2000,947667.0,0.0,0.0,0.0,0.0,0.0,7.494742,21291.2109375,0.0,0.0,0.0,0.0,0.0,9.966096601133486,0.0,0.0
Czechia,2000,10255063.0,2.28279,0.0,0.0,1.758,0.52479,12.429346,16328.7979234395,2.2260126534571264e-07,0.0,0.0,1.7142751829023382e-07,5.117374705547884e-08,9.700746811328209,2.2260124057005465e-07,1.7142750359653848e-07
Germany,2000,82211508.0,37.8,0.0,9.5,24.9,3.4,10.9903,27467.7824174767,4.5978964404837336e-07,0.0,1.1555559837194568e-07,3.0287730520646813e-07,4.135674046995951e-08,10.220805454025315,4.597895383451474e-07,3.0287725933914636e-07
Denmark,2000,5339616.0,5.5722056,0.0012,4.2412,0.0302,1.2996056,10.168523,28641.6990434156,1.0435592372185566e-06,2.247352618615271e-10,7.942893271725907e-07,5.655837423515099e-09,2.433893373605892e-07,10.262653856976963,1.0435586927109947e-06,5.655837407520852e-09
Algeria,2000,30903893.0,0.054,0.0,0.0,0.054,0.0,2.7633646,9186.81590337785,1.7473526717167963e-09,0.0,0.0,1.7473526717167963e-09,0.0,9.1256335269711,1.7473526701901755e-09,1.7473526701901755e-09
Ecuador,2000,12689206.0,7.6112313,0.0,0.0,7.6112313,0.0,1.6492264,5728.25249858026,5.998193503990715e-07,0.0,0.0,5.998193503990715e-07,0.0,8.653340347198968,5.998191705075169e-07,5.998191705075169e-07
Spain,2000,40567864.0,35.808,0.018,4.727,29.57,1.493,7.559086,21577.59731368,8.826690998569705e-07,4.437009550219356e-10,1.1652080079937165e-07,7.289020688888131e-07,3.680252921376388e-08,9.979457237333495,8.826687103048298e-07,7.289018032398291e-07
Estonia,2000,1396985.0,0.06,0.0,0.0,0.005,0.055,11.074747,9422.49706491914,4.2949637970343273e-08,0.0,0.0,3.5791364975286063e-09,3.937050147281467e-08,9.15096153699265,4.29496370480076e-08,3.579136491123497e-09
Finland,2000,5176209.0,23.378601,0.001576,0.078,14.66,8.639025,11.015339,26777.1143421587,4.516548887419345e-06,3.044699315657463e-10,1.506894331353313e-08,2.8321885766204574e-06,1.668986897553789e-06,10.195340203851895,4.51653868784313e-06,2.8321845659819636e-06
France,2000,60918661.0,69.40222325,0.00522325,0.048,66.363,2.986,6.8277426,26001.8796983416,1.1392604845664616e-06,8.574137898401936e-11,7.879359002982682e-10,1.0893706281561243e-06,4.901617913105477e-08,10.16596256849897,1.1392598356097285e-06,1.0893700347923725e-06
United Kingdom,2000,58892514.0,9.9145453,0.001,0.946,5.0857453,3.8818,9.635284,26529.8521734351,1.6834983984551924e-07,1.6980086806958183e-11,1.606316211938244e-08,8.635639667207958e-08,6.591330096725027e-08,10.186063567740494,1.6834982567468654e-07,8.635639294336616e-08
Greece,2000,10805808.0,4.144,0.0,0.451,3.693,0.0,9.549958,18815.8357857409,3.834974672879622e-07,0.0,4.1736814128105923e-08,3.4176065315985624e-07,0.0,9.842507268596904,3.8349739375282725e-07,3.4176059475969755e-07
Croatia,2000,4468302.0,6.4539,0.0,0.0,6.4529,0.001,4.5427685,10672.233170321,1.4443741716652098e-06,0.0,0.0,1.4441503730052266e-06,2.237986599831435e-10,9.275494313421417,1.4443731285578405e-06,1.4441493302210806e-06
Hungary,2000,10210971.0,0.243,0.0,0.0,0.178,0.065,5.715533,11854.683416267,2.379793263539775e-08,0.0,0.0,1.7432230490126745e-08,6.365702145271003e-09,9.380562644772724,2.3797932352226955e-08,1.7432230338185416e-08
Indonesia,2000,216077790.0,14.8884,0.0,0.0,10.016,4.8724,1.3019868,4639.03942640187,6.890296314119096e-08,0.0,0.0,4.635367660878057e-08,2.2549286532410388e-08,8.44247814225357,6.89029607673819e-08,4.635367553444893e-08
India,2000,1057922733.0,80.265513507,0.007070707,1.582,76.990364,1.6860788,0.9324355,2090.85806894812,7.58708656154759e-08,6.6835760112170685e-12,1.4953833117035401e-09,7.277503507432428e-08,1.5937636534368716e-09,7.645807978212189,7.587086273728193e-08,7.277503242622154e-08
Ireland,2000,3805174.0,1.18506102,0.0,0.24404392,0.846,0.0950171,11.899826,30209.4656208159,3.114341210152282e-07,0.0,6.413475967196243e-08,2.2232886065131317e-07,2.497050069195259e-08,10.315943687066175,3.1143407251963246e-07,2.223288359362557e-07
Iraq,2000,24424056.0,3.196577,0.0,0.0,3.196577,0.0,3.4091678,10627.9400727656,1.3087822104567725e-07,0.0,0.0,1.3087822104567725e-07,0.0,9.271335755429964,1.3087821248112365e-07,1.3087821248112365e-07
Iceland,2000,281205.0,7.673151000000001,0.0,0.0,6.350488,1.322663,10.428837,29782.8738104215,2.728668053555236e-05,0.0,0.0,2.258312618907914e-05,4.703554346473213e-06,10.301722378719159,2.7286308260857113e-05,2.2582871194123954e-05
Israel,2000,6289000.0,0.031,0.0,0.0,0.031,0.0,9.739484,25728.9155516736,4.929241532835109e-09,0.0,0.0,4.929241532835109e-09,0.0,10.155409623174547,4.929241520686398e-09,4.929241520686398e-09
Italy,2000,56942108.0,50.88,0.018,0.563,44.2,6.099,8.199393,27146.321184003,8.935391011516469e-07,3.161105310677996e-10,9.887234943953952e-09,7.762269707331524e-07,1.0710878494347276e-07,10.209033653238272,8.935387019458221e-07,7.762266694691533e-07
Japan,2000,126843000.0,101.03214373,0.34406173,0.109,84.468,16.111082,9.950527,27287.2701912718,7.965133569057812e-07,2.712500729247968e-09,8.593300379208943e-10,6.659255930559827e-07,1.270159330826297e-07,10.21421222551794,7.965130396891858e-07,6.659253713276334e-07
Kazakhstan,2000,15501103.0,7.5310507,0.0,0.0,7.5310507,0.0,9.249703,7418.19612078016,4.85839665732174e-07,0.0,0.0,4.85839665732174e-07,0.0,8.911825990774778,4.858395477121217e-07,4.858395477121217e-07
Kuwait,2000,1954709.0,0.0,0.0,0.0,0.0,0.0,28.081316,58702.8673248873,0.0,0.0,0.0,0.0,0.0,10.980260886523132,0.0,0.0
Sri Lanka,2000,19293054.0,3.2080397,0.000432,0.0034,3.2042077,0.0,0.525273,4367.80358983368,1.6627951697020077e-07,2.2391478300947067e-11,1.7622922736856487e-10,1.6608089626453126e-07,0.0,8.382244472535483,1.662795031457634e-07,1.6608088247310074e-07
Lithuania,2000,3499536.0,0.3393,0.0,0.0,0.3393,0.0,3.393477,8465.94329594005,9.695571069993279e-08,0.0,0.0,9.695571069993279e-08,0.0,9.0439248365536,9.695570599972819e-08,9.695570599972819e-08
Luxembourg,2000,436300.0,0.1706389999999999,4e-05,0.024743,0.123504,0.022352,19.95559,55124.2922512694,3.9110474444189757e-07,9.168003667201468e-11,5.6710978684391475e-08,2.830712812285125e-07,5.1230804492321795e-08,10.917363914345422,3.9110466796045695e-07,2.830712411638449e-07
Latvia,2000,2367550.0,2.824,0.0,0.005,2.819,0.0,2.990206,7840.88147857358,1.1927942387700365e-06,0.0,2.1118878165191864e-09,1.1906823509535173e-06,0.0,8.967234069064713,1.1927935273915543e-06,1.1906816420918495e-06
Morocco,2000,28423435.0,0.782,0.0,0.064,0.718,0.0,1.1680186,3930.22314453125,2.7512508604255608e-08,0.0,2.251663108276674e-09,2.5260845495978932e-08,0.0,8.276705889145608,2.751250822578655e-08,2.526084517692378e-08
Mexico,2000,98625552.0,39.459525,0.007,0.019,33.07488,6.358645,3.968942,11704.3811035837,4.000943386354887e-07,7.097552163763808e-11,1.9264784444501766e-10,3.353581230146119e-07,6.447259225479418e-08,9.367803938436728,4.000942585977701e-07,3.353580667820891e-07
North Macedonia,2000,2026350.0,1.17,0.0,0.0,1.17,0.0,4.1160574,6152.57510040659,5.773928492116367e-07,0.0,0.0,5.773928492116367e-07,0.0,8.724788509040492,5.773926825204498e-07,5.773926825204498e-07
Malaysia,2000,22967816.0,7.564903,0.0,0.0,6.994,0.570903,5.3500233,13027.273338686,3.293697145605834e-07,0.0,0.0,3.0451306297472947e-07,2.485665158585388e-08,9.474877147039246,3.2936966031839087e-07,3.045130166106361e-07
North America,2000,312909691.0,753.8824173,0.5425887,5.9723086,664.147,83.22052,14.758459,35650.1695655424,2.409265161749177e-06,1.73401053277062e-09,1.9086365081610718e-08,2.1224877947292467e-06,2.65956991405549e-07,10.481537232191892,2.4092622594745286e-06,2.1224855422552147e-06
