year,renewables_production,solar_electricity_generation_twh,wind_electricity_generation_twh,hydro_electricity_generation_twh,other_renewables_electricity_generation_twh,moving_avg,linear_trend,exponential_trend
2000,6142.8997117300005,2.6491292250000003,68.398967605,5626.2248478,445.6267671,,4220.026420908049,5406.9011440525965
2001,5947.383500704,3.432952234,83.45331211,5400.5046651,459.99257126,,4768.424973720452,5696.294453641567
2002,6160.27099566,4.212284193,115.070652487,5547.0928744,493.89518458000003,6083.518069364666,5316.823526533088,6001.176947405281
2003,6184.529952715,5.129382897999999,137.931675517,5525.25404267,516.21485163,6097.394816359666,5865.222079345491,6322.377652202512
2004,6636.465099755,6.635331417000001,185.526408498,5892.1150669,552.18829294,6327.08868271,6413.620632158127,6660.769966856681
2005,6925.4018945329,9.108353749900001,227.734818507,6097.0936593999995,591.465062876,6582.132315667633,6962.01918497053,7017.274037074379
2006,7248.1527983959995,12.309797009,294.752678337,6318.3407215,622.74960155,6936.673264227967,7510.417737783166,7392.8592574765435
2007,7443.260601373,16.637516245,379.065270828,6377.1662034,670.3916109,7205.605098100633,8058.816290595569,7788.546907545625
2008,8002.353547583,26.701209177,500.29479279599997,6766.7847678,708.57277781,7564.588982450667,8607.214843408205,8205.412928656968
2009,8181.7716308676,43.6723854826,632.028366585,6751.136384,754.9344948,7875.795259941199,9155.613396220608,8644.59084974401
2010,8773.305775361,70.062923991,794.049206322,7071.375370668,837.81827438,8319.143651270533,9704.011949033244,9107.274869554825
2011,9280.285545130999,134.766809012,1009.371520885,7260.340372344001,875.80684289,8745.120983786534,10252.41050184588,9594.72310387958
2012,9858.988747992,210.263367454,1212.502815178,7494.4997816,941.72278376,9304.193356161333,10800.809054658283,10108.261006579298
2013,10509.302546945,291.583311606,1448.723010085,7756.893713044,1012.1025122100001,9882.858946689334,11349.207607470918,10649.284973718186
2014,11069.415035971,421.201573158,1606.322371775,7954.676798838,1087.2142922,10479.235443636,11897.606160283322,11219.266140599757
2015,11531.000370105001,546.882377131,1878.841329068,7939.832112406,1165.4445515,11036.572651007,12446.004713095957,11819.754382031373
2016,12277.98966229,705.281925915,2180.267792504,8211.732856321,1180.7070875499999,11626.135022788667,12994.40326590836,12452.382526695586
2017,13089.858751239,957.937880934,2566.614341553,8323.843851822001,1241.46267693,12299.616261211333,13542.801818720996,13118.870797085397
2018,13942.219238016,1229.3930539950002,2841.41388267,8541.365730811,1330.04657054,13103.355883848335,14091.2003715334,13821.031487079643
2019,14694.411475003,1497.647567086,3164.838685847,8646.93910544,1384.98611663,13908.829821419335,14639.598924346035,14560.773889875169
2020,15696.514692659,1808.458194236,3557.612858654,8873.252720269,1457.1909195,14777.715135226003,15187.997477158438,15340.10948967667
2021,16584.345554404,2216.140987034,4126.994692463,8682.388678243,1558.8211966640001,15658.423907355333,15736.396029971074,16161.157431261068
2022,17796.499453651,2786.7461774969997,4673.409975506,8739.419474898,1596.92382575,16692.453233571334,16284.794582783477,17026.150282288905
2023,18662.008095966,3463.851826775,5094.414881384,8504.167943127,1599.57344468,17680.951034673668,16833.193135596113,17937.44010403284
