Country Name,year,population,renewables_production,solar_electricity_generation_twh,wind_electricity_generation_twh,hydro_electricity_generation_twh,other_renewables_electricity_generation_twh,co2_per_capita,gdp_per_capita
United Arab Emirates,2000,3493575.0,0.0,0.0,0.0,0.0,0.0,32.005684,91317.6283690281
Argentina,2000,37213984.0,28.9960633,3.6e-05,0.034758,28.575241,0.3860283,3.8552415,11499.9828002698
Australia,2000,19028802.0,17.53675,0.04675,0.134,16.4665,0.8895,18.293966,26541.6653208437
Austria,2000,8011566.0,43.4339293,0.003,0.067,41.83565,1.5282793,8.258849,29214.7386484813
Azerbaijan,2000,8048600.0,1.534,0.0,0.0,1.534,0.0,3.641134,3382.08308668081
Belgium,2000,10251250.0,1.044,0.0,0.016,0.46,0.568,12.361207,27788.0908832256
Bangladesh,2000,134544304.0,0.74901,1e-05,0.0,0.749,0.0,0.19725306,1511.90500589079
Bulgaria,2000,8170172.0,2.631,0.0,0.0,2.631,0.0,5.698653,6422.77559051105
Belarus,2000,9979610.0,0.027,0.0,0.0,0.027,0.0,5.4954047,5795.65224182629
Brazil,2000,174018282.0,312.259663,0.0,0.001,304.4033,7.855363,1.95487,9091.76851396714
Canada,2000,30685730.0,365.957534054,0.016421054,0.264,356.76007,8.917043,18.330502,29362.0841609786
Switzerland,2000,7184250.0,37.684334,0.011,0.003,36.837334,0.833,6.071977,36695.2070554187
Chile,2000,15503635.0,20.456,0.0,0.0,19.081,1.375,3.7734895,9375.59008392779
China,2000,1262645000.0,225.558899,0.022,0.589899,222.41,2.537,2.8743548,2917.6021545082
Colombia,2000,39089934.0,31.313553014,0.001835014,0.0,30.815718,0.496,1.4477241,6775.93064419867
Cyprus,2000,947667.0,0.0,0.0,0.0,0.0,0.0,7.494742,21291.2109375
Czechia,2000,10255063.0,2.28279,0.0,0.0,1.758,0.52479,12.429346,16328.7979234395
Germany,2000,82211508.0,37.8,0.0,9.5,24.9,3.4,10.9903,27467.7824174767
Denmark,2000,5339616.0,5.5722056,0.0012,4.2412,0.0302,1.2996056,10.168523,28641.6990434156
Algeria,2000,30903893.0,0.054,0.0,0.0,0.054,0.0,2.7633646,9186.81590337785
Ecuador,2000,12689206.0,7.6112313,0.0,0.0,7.6112313,0.0,1.6492264,5728.25249858026
Spain,2000,40567864.0,35.808,0.018,4.727,29.57,1.493,7.559086,21577.59731368
Estonia,2000,1396985.0,0.06,0.0,0.0,0.005,0.055,11.074747,9422.49706491914
Finland,2000,5176209.0,23.378601,0.001576,0.078,14.66,8.639025,11.015339,26777.1143421587
France,2000,60918661.0,69.40222325,0.00522325,0.048,66.363,2.986,6.8277426,26001.8796983416
United Kingdom,2000,58892514.0,9.9145453,0.001,0.946,5.0857453,3.8818,9.635284,26529.8521734351
Greece,2000,10805808.0,4.144,0.0,0.451,3.693,0.0,9.549958,18815.8357857409
Croatia,2000,4468302.0,6.4539,0.0,0.0,6.4529,0.001,4.5427685,10672.233170321
Hungary,2000,10210971.0,0.243,0.0,0.0,0.178,0.065,5.715533,11854.683416267
Indonesia,2000,216077790.0,14.8884,0.0,0.0,10.016,4.8724,1.3019868,4639.03942640187
India,2000,1057922733.0,80.265513507,0.007070707,1.582,76.990364,1.6860788,0.9324355,2090.85806894812
Ireland,2000,3805174.0,1.18506102,0.0,0.24404392,0.846,0.0950171,11.899826,30209.4656208159
Iraq,2000,24424056.0,3.196577,0.0,0.0,3.196577,0.0,3.4091678,10627.9400727656
Iceland,2000,281205.0,7.673151000000001,0.0,0.0,6.350488,1.322663,10.428837,29782.8738104215
Israel,2000,6289000.0,0.031,0.0,0.0,0.031,0.0,9.739484,25728.9155516736
Italy,2000,56942108.0,50.88,0.018,0.563,44.2,6.099,8.199393,27146.321184003
Japan,2000,126843000.0,101.03214373,0.34406173,0.109,84.468,16.111082,9.950527,27287.2701912718
Kazakhstan,2000,15501103.0,7.5310507,0.0,0.0,7.5310507,0.0,9.249703,7418.19612078016
Kuwait,2000,1954709.0,0.0,0.0,0.0,0.0,0.0,28.081316,58702.8673248873
Sri Lanka,2000,19293054.0,3.2080397,0.000432,0.0034,3.2042077,0.0,0.525273,4367.80358983368
Lithuania,2000,3499536.0,0.3393,0.0,0.0,0.3393,0.0,3.393477,8465.94329594005
Luxembourg,2000,436300.0,0.17063899999999999,4e-05,0.024743,0.123504,0.022352,19.95559,55124.2922512694
Latvia,2000,2367550.0,2.824,0.0,0.005,2.819,0.0,2.990206,7840.88147857358
Morocco,2000,28423435.0,0.782,0.0,0.064,0.718,0.0,1.1680186,3930.22314453125
Mexico,2000,98625552.0,39.459525,0.007,0.019,33.07488,6.358645,3.968942,11704.3811035837
North Macedonia,2000,2026350.0,1.17,0.0,0.0,1.17,0.0,4.1160574,6152.57510040659
Malaysia,2000,22967816.0,7.564903,0.0,0.0,6.994,0.570903,5.3500233,13027.273338686
North America,2000,312909691.0,753.8824173,0.5425887,5.9723086,664.147,83.22052,14.758459,35650.1695655424
Netherlands,2000,15925513.0,2.9922969999999998,0.00771,0.829,0.142393,2.013194,10.706721,31887.8534610687
Norway,2000,4490967.0,142.11030000000002,0.0053,0.031,141.818,0.256,9.3769045,36986.4941984639
New Zealand,2000,3857700.0,28.296062584999998,0.0,0.120208085,24.434969,3.7408855,8.357968,21500.6292898099
Oman,2000,2282131.0,0.0,0.0,0.0,0.0,0.0,10.468582,39443.2607398871
Pakistan,2000,154879127.0,18.484977,0.0,0.0,17.558277,0.9267,0.6711011,2565.19958815541
Peru,2000,26598331.0,16.3349,0.0,0.0008,16.1761,0.158,1.0781721,5011.94540719945
Philippines,2000,79625397.0,19.425,0.0,0.0,7.799,11.626,0.9030095,3365.55833002445
Poland,2000,38258629.0,2.332,0.0,0.005,2.106,0.221,8.297664,10718.9105404255
Portugal,2000,10289898.0,12.868400000000001,0.0014,0.168,11.323,1.376,6.3848715,18879.0582089447
Qatar,2000,644989.0,0.0,0.0,0.0,0.0,0.0,62.50843,88848.6270266732
Romania,2000,22442971.0,14.778,0.0,0.0,14.778,0.0,4.2339816,5848.82847523461
Russian Federation,2000,146596869.0,164.15699999999998,0.0,0.0019,164.076,0.0791,10.081552,6825.3916015625
Saudi Arabia,2000,16177722.0,0.0,0.0,0.0,0.0,0.0,19.147379,48689.1978830954
Singapore,2000,4027887.0,0.245,0.0,0.0,0.0,0.245,9.260702,43781.2691497492
Slovenia,2000,1988925.0,3.904,0.0,0.0,3.834,0.07,7.5770297,17887.7797417869
Sweden,2000,8872109.0,83.14,0.001,0.457,78.584,4.098,6.1913505,29629.8986478258
Thailand,2000,63007815.0,6.4183415,0.0,0.0,5.891444,0.5268975,2.656056,7289.10499433492
Turkmenistan,2000,4582677.0,0.003154,0.0,0.0,0.003154,0.0,8.589285,4208.66515457688
Trinidad and Tobago,2000,1319774.0,0.020531,0.000531,0.0,0.0,0.02,18.463089,13953.1361523584
Turkey,2000,65425961.0,31.153399999999998,0.0,0.0334,30.8785,0.2415,3.5144587,9308.41965620447
Ukraine,2000,49556660.0,11.28,0.0,0.006,11.274,0.0,5.7646046,4228.1162109375
United States,2000,282162411.0,345.51244667000003,0.51851267,5.649759,272.76135,66.582825,21.3516,36329.9702595751
Uzbekistan,2000,24787054.0,5.879,0.0,0.0,5.879,0.0,4.981535,2644.26354163948
World,2000,6161884825.5,2863.9871491000004,1.0581311,31.409548,2646.6404,184.87907,4.1334705,7994.71964404334
South Africa,2000,47159719.0,1.5877998,0.0093,0.0,1.1009998,0.4775,8.021831,8095.29428869191
United Arab Emirates,2001,3723590.0,0.0,0.0,0.0,0.0,0.0,27.236929,88831.5766084328
Argentina,2001,37624825.0,36.99257525,4.3e-05,0.049361,36.580173,0.36299825,3.5916998,11117.754923304
Australia,2001,19274701.0,17.26215,0.05415,0.287,16.1235,0.7975,18.475426,27645.8140289701
Austria,2001,8042293.0,42.300294,0.005,0.172,40.455482,1.667812,8.724688,29556.403560049
Azerbaijan,2001,8111200.0,1.301,0.0,0.0,1.301,0.0,3.4435794,3771.2705793939
