Test,Lag,p-value,Significant
Renewables -> CO2,1,0.1920282838295692,False
Renewables -> CO2,2,0.08219745170956942,False
CO2 -> Renewables,1,0.5999985043566192,False
CO2 -> Renewables,2,0.24448702176826875,False
GDP -> CO2,1,0.16168551349042798,False
GDP -> CO2,2,0.3249278493119824,False
CO2 -> GDP,1,0.1264976561074637,False
CO2 -> GDP,2,0.020137530548315765,True
Renewables -> GDP,1,0.08499290331957,False
Renewables -> GDP,2,0.11380385106552532,False
GDP -> Renewables,1,0.6385063287909056,False
GDP -> Renewables,2,0.2755523402496557,False
